question,answer
さとうさん　＿＿＿　ごご よじはん　＿＿＿　えき　＿＿＿　ごはん　＿＿＿　みます。,は、に、で、を
あなた　＿＿＿　１０じ　＿＿＿　えき　＿＿＿　ほん　＿＿＿　かいます。,は、に、で、を
さとうさん　＿＿＿　１０じ　＿＿＿　えき　＿＿＿　ごはん　＿＿＿　かいます。,は、に、で、を
たなかさん　＿＿＿　１０じ　＿＿＿　スーパー　＿＿＿　パン　＿＿＿　みます。,は、に、で、を
さとうさん　＿＿＿　１０じ　＿＿＿　こうえん　＿＿＿　コーヒー　＿＿＿　のみます。,は、に、で、を
あなた　＿＿＿　８じ　＿＿＿　えき　＿＿＿　ごはん　＿＿＿　のみます。,は、に、で、を
あなた　＿＿＿　ごご よじはん　＿＿＿　きょうしつ　＿＿＿　ごはん　＿＿＿　のみます。,は、に、で、を
たなかさん　＿＿＿　８じ　＿＿＿　だいがく　＿＿＿　コーヒー　＿＿＿　かいます。,は、に、で、を
たなかさん　＿＿＿　９じ　＿＿＿　としょかん　＿＿＿　えいが　＿＿＿　のみます。,は、に、で、を
わたし　＿＿＿　ごご よじはん　＿＿＿　スーパー　＿＿＿　みず　＿＿＿　かいます。,は、に、で、を
さとうさん　＿＿＿　１０じ　＿＿＿　せんせい　＿＿＿　でんしゃ　＿＿＿　だいがく　＿＿＿　いきます。,は、に、と、で、へ
さとうさん　＿＿＿　８じ　＿＿＿　ともだち　＿＿＿　バス　＿＿＿　だいがく　＿＿＿　いきます。,は、に、と、で、へ
さとうさん　＿＿＿　ごご さんじ　＿＿＿　ともだち　＿＿＿　バス　＿＿＿　しょくどう　＿＿＿　いきます。,は、に、と、で、へ
わたし　＿＿＿　８じ　＿＿＿　ともだち　＿＿＿　バス　＿＿＿　としょかん　＿＿＿　いきます。,は、に、と、で、へ
わたし　＿＿＿　７じ　＿＿＿　かぞく　＿＿＿　でんしゃ　＿＿＿　だいがく　＿＿＿　いきます。,は、に、と、で、へ
あなた　＿＿＿　ごぜん ９じ　＿＿＿　せんせい　＿＿＿　タクシー　＿＿＿　えき　＿＿＿　いきます。,は、に、と、で、へ
たなかさん　＿＿＿　１０じ　＿＿＿　かぞく　＿＿＿　でんしゃ　＿＿＿　しょくどう　＿＿＿　いきます。,は、に、と、で、へ
わたし　＿＿＿　１０じ　＿＿＿　せんせい　＿＿＿　バス　＿＿＿　きょうしつ　＿＿＿　いきます。,は、に、と、で、へ
さとうさん　＿＿＿　７じ　＿＿＿　ともだち　＿＿＿　でんしゃ　＿＿＿　えき　＿＿＿　いきます。,は、に、と、で、へ
たなかさん　＿＿＿　ごご よじはん　＿＿＿　せんせい　＿＿＿　タクシー　＿＿＿　きょうしつ　＿＿＿　いきます。,は、に、と、で、へ
あなた　＿＿＿　ごご にじ　＿＿＿　１１じ　＿＿＿　えき　＿＿＿　はたらきます。,は、から、まで、で
あなた　＿＿＿　ごご にじ　＿＿＿　ごご ５じ　＿＿＿　だいがく　＿＿＿　はたらきます。,は、から、まで、で
わたし　＿＿＿　ごご にじ　＿＿＿　ごご ４じ　＿＿＿　としょかん　＿＿＿　はたらきます。,は、から、まで、で
あなた　＿＿＿　１０じ　＿＿＿　１１じ　＿＿＿　としょかん　＿＿＿　はたらきます。,は、から、まで、で
あなた　＿＿＿　ごご にじ　＿＿＿　１１じ　＿＿＿　スーパー　＿＿＿　べんきょうします。,は、から、まで、で
さとうさん　＿＿＿　ごご にじ　＿＿＿　１１じ　＿＿＿　えき　＿＿＿　はたらきます。,は、から、まで、で
たなかさん　＿＿＿　ごご にじ　＿＿＿　１１じ　＿＿＿　だいがく　＿＿＿　はたらきます。,は、から、まで、で
さとうさん　＿＿＿　１０じ　＿＿＿　１１じ　＿＿＿　こうえん　＿＿＿　はたらきます。,は、から、まで、で
さとうさん　＿＿＿　ごご にじ　＿＿＿　ごご ４じ　＿＿＿　しょくどう　＿＿＿　べんきょうします。,は、から、まで、で
あなた　＿＿＿　９じ　＿＿＿　１１じ　＿＿＿　きょうしつ　＿＿＿　べんきょうします。,は、から、まで、で
それ　は　だれ　＿＿＿　カメラ　です　＿＿＿。— わたし　その　カメラ　です。,の、か
あれ　は　だれ　＿＿＿　ノート　です　＿＿＿。— せんせい　あの　ノート　です。,の、か
それ　は　だれ　＿＿＿　でんわ　です　＿＿＿。— せんせい　その　でんわ　です。,の、か
あれ　は　だれ　＿＿＿　ノート　です　＿＿＿。— わたし　あの　ノート　です。,の、か
それ　は　だれ　＿＿＿　とけい　です　＿＿＿。— せんせい　その　とけい　です。,の、か
あした、さとうさん　は　ノート　を　＿＿＿。,のみます
きのう、たなかさん　は　みず　を　＿＿＿。,のみました
きのう、さとうさん　は　えき　へ　＿＿＿。,かえりました
きのう、あなた　は　としょかん　へ　＿＿＿。,かえりました
あした、さとうさん　は　かぞく　に　＿＿＿。,あいます
きのう、さとうさん　は　としょかん　へ　＿＿＿。,かえりませんでした
きのう、あなた　は　スーパー　へ　＿＿＿。,いきました
せんしゅう、わたし　は　きょうしつ　へ　＿＿＿。,かえりました
あした、あなた　は　しょくどう　へ　＿＿＿。,いきます
きのう、あなた　は　パン　を　＿＿＿。,かいませんでした
きのう、たなかさん　は　みず　を　＿＿＿。,かいませんでした
きのう、あなた　は　みず　を　＿＿＿。,たべました
せんしゅう、さとうさん　は　としょかん　へ　＿＿＿。,かえりました
せんしゅう、あなた　は　ごはん　を　＿＿＿。,かいました
あした、さとうさん　は　ともだち　に　＿＿＿。,あいます
"ただしいパーティクルをえらんでください：
 ダッカ（　）シャハバグ（　）バス（　）いきます。
 a) から・まで・で　 b) の・に・へ　 c) と・と・で",a
"ただしいパーティクルをえらんでください：
 きょう（　）ごご さんじ（　）かいぎしつ（　）ミーティング（　）あります。
 a) は・に・で・が　 b) は・に・で・が　 c) は・で・に・は",b
"ただしいパーティクルをえらんでください：
 にちようび（　）やすみです。
 a) は　 b) の　 c) に",a
"ただしいパーティクルをえらんでください：
 わたし（　）７じ（　）おきます。
 a) を・に　 b) は・へ　 c) は・に",c
"ただしいパーティクルをえらんでください：
 その とけい（　）あなた（　）ですか。
 a) は・は　 b) は・の　 c) は・の です か",b
"ただしいパーティクルをえらんでください：
 あした（　）だいがく（　）いきません。
 a) は・へ　 b) は・で　 c) に・で",a
"ただしいパーティクルをえらんでください：
 ここ（　）きょうしつです。
 a) は　 b) の　 c) を",a
"ただしいパーティクルをえらんでください：
 この ほん（　）にほんご（　）ほんです。
 a) は・の　 b) の・は　 c) に・の",a
"ただしいパーティクルをえらんでください：
 やまださん（　）ともだち（　）えいがを みました。
 a) は・の　 b) は・と　 c) が・と",b
"ただしいパーティクルをえらんでください：
 スーパー（　）パンを かいました。
 a) で　 b) に　 c) へ",a
"ただしい どうしのけいを えらんでください：
 きのう、わたしは ごはんを（　）。
 a) たべました　 b) たべます　 c) たべません",a
"ただしい どうしのけいを えらんでください：
 あした、たなかさんは だいがくへ（　）。
 a) いきました　 b) いきます　 c) いきませんでした",b
"ただしい どうしのけいを えらんでください：
 せんしゅう、さとうさんは ともだちに（　）。
 a) あいました　 b) あいます　 c) あいません",a
"ただしい どうしのけいを えらんでください：
 まいにち、わたしは みずを（　）。
 a) のみました　 b) のみます　 c) のみませんでした",b
"ただしい どうしのけいを えらんでください：
 きのうの ばん、あなたは えいがを（　）か。
 a) みます　 b) みました　 c) みませんでした",c
"ただしい どうしのけいを えらんでください：
 あした、わたしたちは としょかんで べんきょうを（　）。
 a) しました　 b) します　 c) しませんでした",b
"ただしい どうしのけいを えらんでください：
 せんしゅうの きんようび、わたしは こうえんへ（　）。
 a) いきました　 b) いきます　 c) いきません",a
"ただしい どうしのけいを えらんでください：
 きのう、やまださんは かいしゃで（　）。
 a) はたらきました　 b) はたらきます　 c) はたらきませんでした",a
"ただしい どうしのけいを えらんでください：
 まいにち、あなたは なんじに（　）か。
 a) おきました　 b) おきます　 c) おきませんでした",b
"ただしい どうしのけいを えらんでください：
 きのう、わたしは パンを（　）か。— いいえ、（　）。
 a) たべました／たべませんでした　 b) たべます／たべません　 c) たべました／たべませんでした",c
