"わたし","আমি","わたし (Watashi)

Literal meaning: “আমি”.

Usage: প্রথম পুরুষ একবচন (I) বোঝাতে ব্যবহৃত হয়। মহিলারা এবং ভদ্র পরিবেশে বেশি ব্যবহার করেন।

Politeness: Polite.

Examples:
わたし は がくせい です。→ আমি একজন ছাত্র।
わたし の なまえ は さとう です。→ আমার নাম সাতো।

👉 Think of it as: “আমি (ভদ্র/নিরপেক্ষভাবে নিজেকে বোঝাতে)।”"
"きょうし","শিক্ষক (পেশা হিসেবে)","きょうし (Kyoushi)

Literal meaning: “শিক্ষক (পেশা হিসেবে)”.

Usage: একটি শিক্ষক (পেশা হিসেবে)।

Politeness: Neutral.

Examples:
きょうし です。→ এটি শিক্ষক (পেশা হিসেবে)।
これは きょうし です。→ এটি শিক্ষক (পেশা হিসেবে)।

👉 Think of it as: “শিক্ষক (পেশা হিসেবে)।”"
"がくせい","ছাত্র","がくせい (Gakusei)

Literal meaning: “ছাত্র”.

Usage: একটি ছাত্র।

Politeness: Neutral.

Examples:
がくせい です。→ এটি ছাত্র।
これは がくせい です。→ এটি ছাত্র।

👉 Think of it as: “ছাত্র।”"
"かいしゃいん","কোম্পানির কর্মচারী","かいしゃいん (Kaishain)

Literal meaning: “কোম্পানির কর্মচারী”.

Usage: একটি কোম্পানির কর্মচারী।

Politeness: Neutral.

Examples:
かいしゃいん です。→ এটি কোম্পানির কর্মচারী।
これは かいしゃいん です。→ এটি কোম্পানির কর্মচারী।

👉 Think of it as: “কোম্পানির কর্মচারী।”"
"しゃいん","(কোম্পানির) কর্মচারী","しゃいん (Shain)

Literal meaning: “(কোম্পানির) কর্মচারী”.

Usage: একটি (কোম্পানির) কর্মচারী।

Politeness: Neutral.

Examples:
しゃいん です。→ এটি (কোম্পানির) কর্মচারী।
これは しゃいん です。→ এটি (কোম্পানির) কর্মচারী।

👉 Think of it as: “(কোম্পানির) কর্মচারী।”"
"ぎんこういん","ব্যাংকের কর্মচারী","ぎんこういん (Ginkouin)

Literal meaning: “ব্যাংকের কর্মচারী”.

Usage: একটি ব্যাংকের কর্মচারী।

Politeness: Neutral.

Examples:
ぎんこういん です。→ এটি ব্যাংকের কর্মচারী।
これは ぎんこういん です。→ এটি ব্যাংকের কর্মচারী।

👉 Think of it as: “ব্যাংকের কর্মচারী।”"
"いしゃ","ডাক্তার","いしゃ (Isha)

Literal meaning: “ডাক্তার”.

Usage: একটি ডাক্তার।

Politeness: Neutral.

Examples:
いしゃ です。→ এটি ডাক্তার।
これは いしゃ です。→ এটি ডাক্তার।

👉 Think of it as: “ডাক্তার।”"
"けんきゅうしゃ","গবেষক / বিজ্ঞানী","けんきゅうしゃ (Kenkyuusha)

Literal meaning: “গবেষক / বিজ্ঞানী”.

Usage: একটি গবেষক / বিজ্ঞানী।

Politeness: Neutral.

Examples:
けんきゅうしゃ です。→ এটি গবেষক / বিজ্ঞানী।
これは けんきゅうしゃ です。→ এটি গবেষক / বিজ্ঞানী।

👉 Think of it as: “গবেষক / বিজ্ঞানী।”"
"エンジニア","ইঞ্জিনিয়ার","エンジニア (Enjinia)

Literal meaning: “ইঞ্জিনিয়ার”.

Usage: একটি ইঞ্জিনিয়ার।

Politeness: Neutral.

Examples:
エンジニア です。→ এটি ইঞ্জিনিয়ার।
これは エンジニア です。→ এটি ইঞ্জিনিয়ার।

👉 Think of it as: “ইঞ্জিনিয়ার।”"
"だいがく","বিশ্ববিদ্যালয়","だいがく (Daigaku)

Literal meaning: “বিশ্ববিদ্যালয়”.

Usage: একটি বিশ্ববিদ্যালয়।

Politeness: Neutral.

Examples:
だいがく です。→ এটি বিশ্ববিদ্যালয়।
これは だいがく です。→ এটি বিশ্ববিদ্যালয়।

👉 Think of it as: “বিশ্ববিদ্যালয়।”"
"びょういん","হাসপাতাল","びょういん (Byouin)

Literal meaning: “হাসপাতাল”.

Usage: একটি হাসপাতাল।

Politeness: Neutral.

Examples:
びょういん です。→ এটি হাসপাতাল।
これは びょういん です。→ এটি হাসপাতাল।

👉 Think of it as: “হাসপাতাল।”"
"でんき","বিদ্যুৎ","でんき (Denki)

Literal meaning: “বিদ্যুৎ”.

Usage: একটি বিদ্যুৎ।

Politeness: Neutral.

Examples:
でんき です。→ এটি বিদ্যুৎ।
これは でんき です。→ এটি বিদ্যুৎ।

👉 Think of it as: “বিদ্যুৎ।”"
"だれ","কে","だれ (Dare)

Literal meaning: “কে”.

Usage: একটি কে।

Politeness: Neutral.

Examples:
だれ です。→ এটি কে।
これは だれ です。→ এটি কে।

👉 Think of it as: “কে।”"
"どなた","কে (বেশি ভদ্র)","どなた (Donata)

Literal meaning: “কে (বেশি ভদ্র)”.

Usage: একটি কে (বেশি ভদ্র)।

Politeness: Neutral.

Examples:
どなた です。→ এটি কে (বেশি ভদ্র)।
これは どなた です。→ এটি কে (বেশি ভদ্র)।

👉 Think of it as: “কে (বেশি ভদ্র)।”"
"～さい","… বছর বয়স","～さい (Sai)

Literal meaning: “… বছর বয়স”.

Usage: একটি … বছর বয়স।

Politeness: Neutral.

Examples:
～さい です。→ এটি … বছর বয়স।
これは ～さい です。→ এটি … বছর বয়স।

👉 Think of it as: “… বছর বয়স।”"
"なんさい","কত বছর বয়স","なんさい (Nansai)

Literal meaning: “কত বছর বয়স”.

Usage: একটি কত বছর বয়স।

Politeness: Neutral.

Examples:
なんさい です。→ এটি কত বছর বয়স।
これは なんさい です。→ এটি কত বছর বয়স।

👉 Think of it as: “কত বছর বয়স।”"
"おいくつ","কত বছর বয়স (ভদ্র)","おいくつ (Oikutsu)

Literal meaning: “কত বছর বয়স (ভদ্র)”.

Usage: একটি কত বছর বয়স (ভদ্র)।

Politeness: Neutral.

Examples:
おいくつ です。→ এটি কত বছর বয়স (ভদ্র)।
これは おいくつ です。→ এটি কত বছর বয়স (ভদ্র)।

👉 Think of it as: “কত বছর বয়স (ভদ্র)।”"
"はい","হ্যাঁ","はい (Hai)

Literal meaning: “হ্যাঁ”.

Usage: একটি হ্যাঁ।

Politeness: Neutral.

Examples:
はい です。→ এটি হ্যাঁ।
これは はい です。→ এটি হ্যাঁ।

👉 Think of it as: “হ্যাঁ।”"
"いいえ","না","いいえ (Iie)

Literal meaning: “না”.

Usage: একটি না।

Politeness: Neutral.

Examples:
いいえ です。→ এটি না।
これは いいえ です。→ এটি না।

👉 Think of it as: “না।”"
"しつれいですが","দুঃখিত / ক্ষমা করবেন","しつれいですが (Shitsurei desu ga)

Literal meaning: “দুঃখিত / ক্ষমা করবেন”.

Usage: একটি দুঃখিত / ক্ষমা করবেন।

Politeness: Neutral.

Examples:
しつれいですが です。→ এটি দুঃখিত / ক্ষমা করবেন।
これは しつれいですが です。→ এটি দুঃখিত / ক্ষমা করবেন।

👉 Think of it as: “দুঃখিত / ক্ষমা করবেন।”"
"おなまえは","আপনার নাম কী?","おなまえは (Onamae wa)

Literal meaning: “আপনার নাম কী?”.

Usage: একটি আপনার নাম কী?।

Politeness: Neutral.

Examples:
おなまえは です。→ এটি আপনার নাম কী?।
これは おなまえは です。→ এটি আপনার নাম কী?।

👉 Think of it as: “আপনার নাম কী?।”"
"はじめまして","প্রথম দেখা / পরিচিতি দেওয়ার সময় ব্যবহৃত অভিবাদন","はじめまして (Hajimemashite)

Literal meaning: “প্রথম দেখা / পরিচিতি দেওয়ার সময় ব্যবহৃত অভিবাদন”.

Usage: একটি প্রথম দেখা / পরিচিতি দেওয়ার সময় ব্যবহৃত অভিবাদন।

Politeness: Neutral.

Examples:
はじめまして です。→ এটি প্রথম দেখা / পরিচিতি দেওয়ার সময় ব্যবহৃত অভিবাদন।
これは はじめまして です。→ এটি প্রথম দেখা / পরিচিতি দেওয়ার সময় ব্যবহৃত অভিবাদন।

👉 Think of it as: “প্রথম দেখা / পরিচিতি দেওয়ার সময় ব্যবহৃত অভিবাদন।”"
"どうぞよろしく（おねがいします）","অনুগ্রহ করে ভালোভাবে দেখবেন / সহযোগিতা করবেন","どうぞよろしく（おねがいします） (Douzo yoroshiku (onegaishimasu))

Literal meaning: “অনুগ্রহ করে ভালোভাবে দেখবেন / সহযোগিতা করবেন”.

Usage: একটি অনুগ্রহ করে ভালোভাবে দেখবেন / সহযোগিতা করবেন।

Politeness: Neutral.

Examples:
どうぞよろしく（おねがいします） です。→ এটি অনুগ্রহ করে ভালোভাবে দেখবেন / সহযোগিতা করবেন।
これは どうぞよろしく（おねがいします） です。→ এটি অনুগ্রহ করে ভালোভাবে দেখবেন / সহযোগিতা করবেন।

👉 Think of it as: “অনুগ্রহ করে ভালোভাবে দেখবেন / সহযোগিতা করবেন।”"
"こちらは～さんです","এইজন …-সান","こちらは～さんです (Kochira wa ~san desu)

Literal meaning: “এইজন …-সান”.

Usage: একটি এইজন …-সান।

Politeness: Neutral.

Examples:
こちらは～さんです です。→ এটি এইজন …-সান।
これは こちらは～さんです です。→ এটি এইজন …-সান।

👉 Think of it as: “এইজন …-সান।”"
"～からきました","… থেকে এসেছি","～からきました (~kara kimashita)

Literal meaning: “… থেকে এসেছি”.

Usage: একটি … থেকে এসেছি।

Politeness: Neutral.

Examples:
～からきました です。→ এটি … থেকে এসেছি।
これは ～からきました です。→ এটি … থেকে এসেছি।

👉 Think of it as: “… থেকে এসেছি।”"
"アメリカ","আমেরিকা","アメリカ (Amerika)

Literal meaning: “আমেরিকা”.

Usage: একটি আমেরিকা।

Politeness: Neutral.

Examples:
アメリカ です。→ এটি আমেরিকা।
これは アメリカ です。→ এটি আমেরিকা।

👉 Think of it as: “আমেরিকা।”"
"イギリス","ইংল্যান্ড / ব্রিটেন","イギリス (Igirisu)

Literal meaning: “ইংল্যান্ড / ব্রিটেন”.

Usage: একটি ইংল্যান্ড / ব্রিটেন।

Politeness: Neutral.

Examples:
イギリス です。→ এটি ইংল্যান্ড / ব্রিটেন।
これは イギリス です。→ এটি ইংল্যান্ড / ব্রিটেন।

👉 Think of it as: “ইংল্যান্ড / ব্রিটেন।”"
"インド","ভারত","インド (Indo)

Literal meaning: “ভারত”.

Usage: একটি ভারত।

Politeness: Neutral.

Examples:
インド です。→ এটি ভারত।
これは インド です。→ এটি ভারত।

👉 Think of it as: “ভারত।”"
"インドネシア","ইন্দোনেশিয়া","インドネシア (Indoneshia)

Literal meaning: “ইন্দোনেশিয়া”.

Usage: একটি ইন্দোনেশিয়া।

Politeness: Neutral.

Examples:
インドネシア です。→ এটি ইন্দোনেশিয়া।
これは インドネシア です。→ এটি ইন্দোনেশিয়া।

👉 Think of it as: “ইন্দোনেশিয়া।”"
"かんこく","কোরিয়া","かんこく (Kankoku)

Literal meaning: “কোরিয়া”.

Usage: একটি কোরিয়া।

Politeness: Neutral.

Examples:
かんこく です。→ এটি কোরিয়া।
これは かんこく です。→ এটি কোরিয়া।

👉 Think of it as: “কোরিয়া।”"
"タイ","থাইল্যান্ড","タイ (Tai)

Literal meaning: “থাইল্যান্ড”.

Usage: একটি থাইল্যান্ড।

Politeness: Neutral.

Examples:
タイ です。→ এটি থাইল্যান্ড।
これは タイ です。→ এটি থাইল্যান্ড।

👉 Think of it as: “থাইল্যান্ড।”"
"ちゅうごく","চীন","ちゅうごく (Chuugoku)

Literal meaning: “চীন”.

Usage: একটি চীন।

Politeness: Neutral.

Examples:
ちゅうごく です。→ এটি চীন।
これは ちゅうごく です。→ এটি চীন।

👉 Think of it as: “চীন।”"
"ドイツ","জার্মানি","ドイツ (Doitsu)

Literal meaning: “জার্মানি”.

Usage: একটি জার্মানি।

Politeness: Neutral.

Examples:
ドイツ です。→ এটি জার্মানি।
これは ドイツ です。→ এটি জার্মানি।

👉 Think of it as: “জার্মানি।”"
"にほん","জাপান","にほん (Nihon)

Literal meaning: “জাপান”.

Usage: একটি জাপান।

Politeness: Neutral.

Examples:
にほん です。→ এটি জাপান।
これは にほん です。→ এটি জাপান।

👉 Think of it as: “জাপান।”"
"フランス","ফ্রান্স","フランス (Furansu)

Literal meaning: “ফ্রান্স”.

Usage: একটি ফ্রান্স।

Politeness: Neutral.

Examples:
フランス です。→ এটি ফ্রান্স।
これは フランス です。→ এটি ফ্রান্স।

👉 Think of it as: “ফ্রান্স।”"
"ブラジル","ব্রাজিল","ブラジル (Burajiru)

Literal meaning: “ব্রাজিল”.

Usage: একটি ব্রাজিল।

Politeness: Neutral.

Examples:
ブラジル です。→ এটি ব্রাজিল।
これは ブラジル です。→ এটি ব্রাজিল।

👉 Think of it as: “ব্রাজিল।”"
