"おきます","উঠি / ঘুম থেকে উঠি","おきます (Okimasu)

Literal meaning: “উঠি / ঘুম থেকে উঠি”.

Usage: একটি উঠি / ঘুম থেকে উঠি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
おきます です。→ এটি উঠি / ঘুম থেকে উঠি।
ここ は おきます です。→ এখানে উঠি / ঘুম থেকে উঠি।

👉 Think of it as: “উঠি / ঘুম থেকে উঠি।”"
"こんばん","আজ রাত","こんばん (Konban)

Literal meaning: “আজ রাত”.

Usage: একটি আজ রাত বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
こんばん です。→ এটি আজ রাত।
ここ は こんばん です。→ এখানে আজ রাত।

👉 Think of it as: “আজ রাত।”"
"やすみ","ছুটি / অবসর","やすみ (Yasumi)

Literal meaning: “ছুটি / অবসর”.

Usage: একটি ছুটি / অবসর বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
やすみ です。→ এটি ছুটি / অবসর।
ここ は やすみ です。→ এখানে ছুটি / অবসর।

👉 Think of it as: “ছুটি / অবসর।”"
"ひるやすみ","দুপুরের বিরতি","ひるやすみ (Hiruyasumi)

Literal meaning: “দুপুরের বিরতি”.

Usage: একটি দুপুরের বিরতি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ひるやすみ です。→ এটি দুপুরের বিরতি।
ここ は ひるやすみ です。→ এখানে দুপুরের বিরতি।

👉 Think of it as: “দুপুরের বিরতি।”"
"まいあさ","প্রতিদিন সকাল","まいあさ (Maiasa)

Literal meaning: “প্রতিদিন সকাল”.

Usage: একটি প্রতিদিন সকাল বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
まいあさ です。→ এটি প্রতিদিন সকাল।
ここ は まいあさ です。→ এখানে প্রতিদিন সকাল।

👉 Think of it as: “প্রতিদিন সকাল।”"
"まいばん","প্রতিদিন রাত","まいばん (Maiban)

Literal meaning: “প্রতিদিন রাত”.

Usage: একটি প্রতিদিন রাত বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
まいばん です。→ এটি প্রতিদিন রাত।
ここ は まいばん です。→ এখানে প্রতিদিন রাত।

👉 Think of it as: “প্রতিদিন রাত।”"
"まいにち","প্রতিদিন","まいにち (Mainichi)

Literal meaning: “প্রতিদিন”.

Usage: একটি প্রতিদিন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
まいにち です。→ এটি প্রতিদিন।
ここ は まいにち です。→ এখানে প্রতিদিন।

👉 Think of it as: “প্রতিদিন।”"
"げつようび","সোমবার","げつようび (Getsuyoubi)

Literal meaning: “সোমবার”.

Usage: একটি সোমবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
げつようび です。→ এটি সোমবার।
ここ は げつようび です。→ এখানে সোমবার।

👉 Think of it as: “সোমবার।”"
"かようび","মঙ্গলবার","かようび (Kayoubi)

Literal meaning: “মঙ্গলবার”.

Usage: একটি মঙ্গলবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
かようび です。→ এটি মঙ্গলবার।
ここ は かようび です。→ এখানে মঙ্গলবার।

👉 Think of it as: “মঙ্গলবার।”"
"すいようび","বুধবার","すいようび (Suiyoubi)

Literal meaning: “বুধবার”.

Usage: একটি বুধবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
すいようび です。→ এটি বুধবার।
ここ は すいようび です。→ এখানে বুধবার।

👉 Think of it as: “বুধবার।”"
"もくようび","বৃহস্পতিবার","もくようび (Mokuyoubi)

Literal meaning: “বৃহস্পতিবার”.

Usage: একটি বৃহস্পতিবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
もくようび です。→ এটি বৃহস্পতিবার।
ここ は もくようび です。→ এখানে বৃহস্পতিবার।

👉 Think of it as: “বৃহস্পতিবার।”"
"きんようび","শুক্রবার","きんようび (Kin'youbi)

Literal meaning: “শুক্রবার”.

Usage: একটি শুক্রবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
きんようび です。→ এটি শুক্রবার।
ここ は きんようび です。→ এখানে শুক্রবার।

👉 Think of it as: “শুক্রবার।”"
"どようび","শনিবার","どようび (Doyoubi)

Literal meaning: “শনিবার”.

Usage: একটি শনিবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
どようび です。→ এটি শনিবার।
ここ は どようび です。→ এখানে শনিবার।

👉 Think of it as: “শনিবার।”"
"にちようび","রবিবার","にちようび (Nichiyoubi)

Literal meaning: “রবিবার”.

Usage: একটি রবিবার বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
にちようび です。→ এটি রবিবার।
ここ は にちようび です。→ এখানে রবিবার।

👉 Think of it as: “রবিবার।”"
"なんようび","সপ্তাহের কোন দিন?","なんようび (Nanyoubi)

Literal meaning: “সপ্তাহের কোন দিন?”.

Usage: একটি সপ্তাহের কোন দিন? বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
なんようび です。→ এটি সপ্তাহের কোন দিন?।
ここ は なんようび です。→ এখানে সপ্তাহের কোন দিন?।

👉 Think of it as: “সপ্তাহের কোন দিন?।”"
"ばんごう","নম্বর","ばんごう (Bangou)

Literal meaning: “নম্বর”.

Usage: একটি নম্বর বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ばんごう です。→ এটি নম্বর।
ここ は ばんごう です。→ এখানে নম্বর।

👉 Think of it as: “নম্বর।”"
"なんばん","কোন নম্বর?","なんばん (Nanban)

Literal meaning: “কোন নম্বর?”.

Usage: একটি কোন নম্বর? বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
なんばん です。→ এটি কোন নম্বর?।
ここ は なんばん です。→ এখানে কোন নম্বর?।

👉 Think of it as: “কোন নম্বর?।”"
"～から","... থেকে","～から (Kara)

Literal meaning: “... থেকে”.

Usage: একটি ... থেকে বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
～から です。→ এটি ... থেকে।
ここ は ～から です。→ এখানে ... থেকে।

👉 Think of it as: “... থেকে।”"
"～まで","... পর্যন্ত","～まで (Made)

Literal meaning: “... পর্যন্ত”.

Usage: একটি ... পর্যন্ত বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
～まで です。→ এটি ... পর্যন্ত।
ここ は ～まで です。→ এখানে ... পর্যন্ত।

👉 Think of it as: “... পর্যন্ত।”"
"と","এবং","と (To)

Literal meaning: “এবং”.

Usage: একটি এবং বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
と です。→ এটি এবং।
ここ は と です。→ এখানে এবং।

👉 Think of it as: “এবং।”"
"そちら","আপনার দিক","そちら (Sochira)

Literal meaning: “আপনার দিক”.

Usage: ভদ্রভাবে ‘ওই দিক / ওইজন (তোমার কাছে)’।

Politeness: Neutral.

Examples:
そちら は だれ ですか。→ উনি কে (আপনার পাশে)?
へや は そちら です。→ রুম ওইদিকে।

👉 Think of it as: “ওইদিকে (ভদ্র, তোমার কাছে)।”"
"たいへんですね","খুব কষ্টকর তাই না?","たいへんですね (Taihen desu ne)

Literal meaning: “খুব কষ্টকর তাই না?”.

Usage: একটি খুব কষ্টকর তাই না? বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
たいへんですね です。→ এটি খুব কষ্টকর তাই না?।
ここ は たいへんですね です。→ এখানে খুব কষ্টকর তাই না?।

👉 Think of it as: “খুব কষ্টকর তাই না?।”"
"えーと","আচ্ছা / দেখি তো","えーと (Eeto)

Literal meaning: “আচ্ছা / দেখি তো”.

Usage: একটি আচ্ছা / দেখি তো বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
えーと です。→ এটি আচ্ছা / দেখি তো।
ここ は えーと です。→ এখানে আচ্ছা / দেখি তো।

👉 Think of it as: “আচ্ছা / দেখি তো।”"
"おねがいします","অনুগ্রহ করে","おねがいします (Onegai shimasu)

Literal meaning: “অনুগ্রহ করে”.

Usage: একটি অনুগ্রহ করে বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
おねがいします です。→ এটি অনুগ্রহ করে।
ここ は おねがいします です。→ এখানে অনুগ্রহ করে।

👉 Think of it as: “অনুগ্রহ করে।”"
"かしこまりました","অবশ্যই / বুঝেছি","かしこまりました (Kashikomarimashita)

Literal meaning: “অবশ্যই / বুঝেছি”.

Usage: একটি অবশ্যই / বুঝেছি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
かしこまりました です。→ এটি অবশ্যই / বুঝেছি।
ここ は かしこまりました です。→ এখানে অবশ্যই / বুঝেছি।

👉 Think of it as: “অবশ্যই / বুঝেছি।”"
"ありがとうございます","ধন্যবাদ","ありがとうございます (Arigatou gozaimasu)

Literal meaning: “ধন্যবাদ”.

Usage: একটি ধন্যবাদ বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ありがとうございます です。→ এটি ধন্যবাদ।
ここ は ありがとうございます です。→ এখানে ধন্যবাদ।

👉 Think of it as: “ধন্যবাদ।”"
"ニューヨーク","নিউ ইয়র্ক","ニューヨーク (Nyuuyooku)

Literal meaning: “নিউ ইয়র্ক”.

Usage: একটি নিউ ইয়র্ক বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ニューヨーク です。→ এটি নিউ ইয়র্ক।
ここ は ニューヨーク です。→ এখানে নিউ ইয়র্ক।

👉 Think of it as: “নিউ ইয়র্ক।”"
"ペキン","বেইজিং","ペキン (Pekin)

Literal meaning: “বেইজিং”.

Usage: একটি বেইজিং বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ペキン です。→ এটি বেইজিং।
ここ は ペキン です。→ এখানে বেইজিং।

👉 Think of it as: “বেইজিং।”"
"ロンドン","লন্ডন","ロンドン (Rondon)

Literal meaning: “লন্ডন”.

Usage: একটি লন্ডন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ロンドン です。→ এটি লন্ডন।
ここ は ロンドン です。→ এখানে লন্ডন।

👉 Think of it as: “লন্ডন।”"
"バンコク","ব্যাংকক","バンコク (Bankoku)

Literal meaning: “ব্যাংকক”.

Usage: একটি ব্যাংকক বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
バンコク です。→ এটি ব্যাংকক।
ここ は バンコク です。→ এখানে ব্যাংকক।

👉 Think of it as: “ব্যাংকক।”"
"ロサンゼルス","লস অ্যাঞ্জেলেস","ロサンゼルス (Rosanzerusu)

Literal meaning: “লস অ্যাঞ্জেলেস”.

Usage: একটি লস অ্যাঞ্জেলেস বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ロサンゼルス です。→ এটি লস অ্যাঞ্জেলেস।
ここ は ロサンゼルス です。→ এখানে লস অ্যাঞ্জেলেস।

👉 Think of it as: “লস অ্যাঞ্জেলেস।”"
